COREF,start_token,end_token,prop,cat,text,COREF_head,chapter
99,795,795,PRON,PER,she,Lady Elliot,0
99,800,800,PRON,PER,her,Lady Elliot,0
248,800,801,NOM,PER,her daughters,-1,0
249,803,804,NOM,PER,This friend,-1,0
88,807,808,PROP,PER,Sir Walter,Sir Walter,0
250,823,823,PRON,PER,their,-1,0
99,832,833,PROP,PER,Lady Elliot,Lady Elliot,0
250,838,838,PRON,PER,they,-1,0
251,842,842,NOM,PER,neighbours,-1,0
252,844,845,NOM,PER,intimate friends,-1,0
253,848,848,NOM,PER,one,-1,0
254,850,851,NOM,PER,a widower,-1,0
255,853,854,NOM,PER,the other,-1,0
256,855,856,NOM,PER,a widow,-1,0
257,859,872,NOM,PER,"Lady Russell , of steady age and character , and extremely well provided for",-1,0
258,887,888,NOM,PER,the public,-1,0
259,899,900,NOM,PER,a woman,-1,0
259,907,907,PRON,PER,she,-1,0
88,912,913,PROP,PER,Sir Walter,Sir Walter,0
88,927,928,PROP,PER,Sir Walter,Sir Walter,0
260,931,933,NOM,PER,a good father,-1,0
88,951,951,PRON,PER,himself,Sir Walter,0
88,956,956,PRON,PER,his,Sir Walter,0
261,956,958,NOM,PER,his dear daughters,-1,0
262,963,964,NOM,PER,one daughter,-1,0
88,966,966,PRON,PER,his,Sir Walter,0
263,966,967,NOM,PER,his eldest,-1,0
88,969,969,PRON,PER,he,Sir Walter,0
88,979,979,PRON,PER,he,Sir Walter,0
90,989,989,PROP,PER,Elizabeth,Elizabeth,0
90,1003,1003,PRON,PER,her,Elizabeth,0
264,1003,1004,NOM,PER,her mother,-1,0
88,1018,1018,PRON,PER,himself,Sir Walter,0
90,1020,1020,PRON,PER,her,Elizabeth,0
265,1028,1028,PRON,PER,they,-1,0
88,1036,1036,PRON,PER,His,Sir Walter,0
266,1036,1039,NOM,PER,His two other children,-1,0
93,1046,1046,PROP,PER,Mary,Mary,0
95,1056,1058,PROP,PER,Mrs Charles Musgrove,Charles,0
92,1061,1061,PROP,PER,Anne,Anne,0
92,1077,1077,PRON,PER,her,Anne,0
267,1080,1084,NOM,PER,any people of real understanding,-1,0
268,1090,1090,NOM,PER,father,-1,0
269,1092,1092,NOM,PER,sister,-1,0
92,1094,1094,PRON,PER,her,Anne,0
92,1100,1100,PRON,PER,her,Anne,0
92,1108,1108,PRON,PER,she,Anne,0
92,1111,1111,PROP,PER,Anne,Anne,0
100,1114,1115,PROP,PER,Lady Russell,Lady Russell,0
100,1119,1119,PRON,PER,she,Lady Russell,0
270,1121,1129,NOM,PER,a most dear and highly valued god - daughter,-1,0
271,1134,1134,NOM,PER,friend,-1,0
100,1136,1137,PROP,PER,Lady Russell,Lady Russell,0
272,1139,1139,PRON,PER,them,-1,0
92,1147,1147,PROP,PER,Anne,Anne,0
100,1149,1149,PRON,PER,she,Lady Russell,0
273,1152,1153,NOM,PER,the mother,-1,0
92,1163,1164,PROP,PER,Anne Elliot,Anne,0
274,1167,1170,NOM,PER,a very pretty girl,-1,0
92,1173,1173,PRON,PER,her,Anne,0
92,1186,1186,PRON,PER,her,Anne,0
275,1186,1187,NOM,PER,her father,-1,0
92,1194,1194,PRON,PER,her,Anne,0
92,1201,1201,PRON,PER,her,Anne,0
275,1209,1209,PRON,PER,his,-1,0
92,1222,1222,PRON,PER,she,Anne,0
275,1230,1230,PRON,PER,his,-1,0
275,1233,1233,PRON,PER,He,-1,0
275,1240,1240,PRON,PER,he,-1,0
92,1248,1248,PRON,PER,her,Anne,0
275,1255,1255,PRON,PER,his,-1,0
90,1266,1266,PROP,PER,Elizabeth,Elizabeth,0
93,1269,1269,PROP,PER,Mary,Mary,0
93,1273,1273,PRON,PER,herself,Mary,0
276,1275,1283,NOM,PER,an old country family of respectability and large fortune,-1,0
90,1296,1296,PROP,PER,Elizabeth,Elizabeth,0
259,1311,1312,NOM,PER,a woman,-1,0
259,1320,1320,PRON,PER,she,-1,0
90,1359,1359,PROP,PER,Elizabeth,Elizabeth,0
92,1365,1366,PROP,PER,Miss Elliot,Anne,0
92,1368,1368,PRON,PER,she,Anne,0
88,1378,1379,PROP,PER,Sir Walter,Sir Walter,0
92,1388,1388,PRON,PER,her,Anne,0
278,1398,1401,NOM,PER,only half a fool,-1,0
88,1405,1405,PRON,PER,himself,Sir Walter,0
90,1407,1407,PROP,PER,Elizabeth,Elizabeth,0
279,1421,1422,NOM,PER,everybody else,-1,0
88,1425,1425,PRON,PER,he,Sir Walter,0
280,1431,1436,NOM,PER,all the rest of his family,-1,0
88,1435,1435,PRON,PER,his,Sir Walter,0
222,1435,1436,NOM,PER,his family,-1,0
92,1442,1442,PROP,PER,Anne,Anne,0
93,1445,1445,PROP,PER,Mary,Mary,0
282,1451,1452,NOM,FAC,the neighbourhood,-1,0
100,1465,1466,PROP,PER,Lady Russell,Lady Russell,0
283,1465,1468,NOM,FAC,Lady Russell 's temples,-1,0
88,1475,1475,PRON,PER,him,Sir Walter,0
90,1477,1477,PROP,PER,Elizabeth,Elizabeth,0
90,1482,1482,PRON,PER,her,Elizabeth,0
275,1482,1483,NOM,PER,her father,-1,0
90,1492,1492,PRON,PER,her,Elizabeth,0
285,1492,1496,NOM,PER,her mistress of Kellynch Hall,-1,0
1,1495,1496,PROP,FAC,Kellynch Hall,Kellynch Hall,0
90,1516,1516,PRON,PER,her,Elizabeth,0
90,1520,1520,PRON,PER,she,Elizabeth,0
90,1527,1527,PRON,PER,she,Elizabeth,0
286,1540,1540,NOM,FAC,home,-1,0
100,1556,1557,PROP,PER,Lady Russell,Lady Russell,0
287,1560,1571,NOM,FAC,all the drawing - rooms and dining - rooms in the country,-1,0
288,1570,1571,NOM,LOC,the country,-1,0
90,1580,1580,PRON,PER,her,Elizabeth,0
289,1587,1589,NOM,FAC,a scanty neighbourhood,-1,0
290,1596,1596,PRON,PER,their,-1,0
90,1600,1600,PRON,PER,she,Elizabeth,0
6,1604,1604,PROP,GPE,London,London,0
90,1606,1606,PRON,PER,her,Elizabeth,0
275,1606,1607,NOM,PER,her father,-1,0
292,1617,1619,NOM,LOC,the great world,-1,0
90,1621,1621,PRON,PER,She,Elizabeth,0
90,1629,1629,PRON,PER,she,Elizabeth,0
90,1642,1642,PRON,PER,her,Elizabeth,0
90,1649,1649,PRON,PER,she,Elizabeth,0
90,1663,1663,PRON,PER,she,Elizabeth,0
90,1665,1665,PRON,PER,her,Elizabeth,0
293,1685,1687,NOM,PER,baronet - blood,-1,0
90,1697,1697,PRON,PER,she,Elizabeth,0
90,1711,1711,PRON,PER,her,Elizabeth,0
90,1717,1717,PRON,PER,she,Elizabeth,0
90,1730,1730,PRON,PER,her,Elizabeth,0
294,1741,1743,NOM,PER,a youngest sister,-1,0
90,1757,1757,PRON,PER,her,Elizabeth,0
275,1757,1758,NOM,PER,her father,-1,0
90,1767,1767,PRON,PER,her,Elizabeth,0
90,1770,1770,PRON,PER,she,Elizabeth,0
90,1783,1783,PRON,PER,She,Elizabeth,0
90,1800,1800,PRON,PER,her,Elizabeth,0
296,1800,1802,NOM,PER,her own family,-1,0
297,1811,1813,NOM,PER,The heir presumptive,-1,0
298,1815,1822,NOM,PER,"the very William Walter Elliot , Esq .",-1,0
90,1832,1832,PRON,PER,her,Elizabeth,0
275,1832,1833,NOM,PER,her father,-1,0
90,1837,1837,PRON,PER,her,Elizabeth,0
90,1839,1839,PRON,PER,She,Elizabeth,0
300,1843,1846,NOM,PER,a very young girl,-1,0
90,1851,1851,PRON,PER,she,Elizabeth,0
298,1854,1854,PRON,PER,him,-1,0
90,1862,1862,PRON,PER,her,Elizabeth,0
301,1864,1865,NOM,PER,no brother,-1,0
302,1867,1869,NOM,PER,the future baronet,-1,0
298,1874,1874,PRON,PER,him,-1,0
90,1877,1877,PRON,PER,her,Elizabeth,0
275,1877,1878,NOM,PER,her father,-1,0
90,1883,1883,PRON,PER,she,Elizabeth,0
298,1886,1886,PRON,PER,He,-1,0
304,1892,1892,PRON,PER,them,-1,0
305,1894,1895,NOM,PER,a boy,-1,0
99,1900,1901,PROP,PER,Lady Elliot,Lady Elliot,0
88,1905,1906,PROP,PER,Sir Walter,Sir Walter,0
88,1914,1914,PRON,PER,his,Sir Walter,0
88,1924,1924,PRON,PER,he,Sir Walter,0
304,1947,1947,PRON,PER,their,-1,0
6,1951,1951,PROP,GPE,London,London,0
90,1954,1954,PROP,PER,Elizabeth,Elizabeth,0
90,1957,1957,PRON,PER,her,Elizabeth,0
89,1961,1962,PROP,PER,Mr Elliot,Mr Elliot,0
89,1970,1970,PRON,PER,He,Mr Elliot,0
306,1975,1978,NOM,PER,a very young man,-1,0
90,1990,1990,PROP,PER,Elizabeth,Elizabeth,0
89,1992,1992,PRON,PER,him,Mr Elliot,0
89,2000,2000,PRON,PER,his,Mr Elliot,0
89,2005,2005,PRON,PER,He,Mr Elliot,0
1,2009,2010,PROP,FAC,Kellynch Hall,Kellynch Hall,0
89,2012,2012,PRON,PER,he,Mr Elliot,0
89,2026,2026,PRON,PER,he,Mr Elliot,0
89,2033,2033,PRON,PER,he,Mr Elliot,0
307,2038,2038,NOM,GPE,town,-1,0
89,2054,2054,PRON,PER,he,Mr Elliot,0
89,2065,2065,PRON,PER,he,Mr Elliot,0
89,2072,2072,PRON,PER,his,Mr Elliot,0
308,2080,2086,NOM,PER,the heir of the house of Elliot,-1,0
89,2088,2088,PRON,PER,he,Mr Elliot,0
89,2094,2094,PRON,PER,himself,Mr Elliot,0
309,2096,2101,NOM,PER,a rich woman of inferior birth,-1,0
88,2103,2104,PROP,PER,Sir Walter,Sir Walter,0
310,2110,2114,NOM,PER,the head of the house,-1,0
311,2113,2114,NOM,FAC,the house,-1,0
88,2116,2116,PRON,PER,he,Sir Walter,0
88,2119,2119,PRON,PER,he,Sir Walter,0
312,2129,2131,NOM,PER,the young man,-1,0
2198,2140,2140,PRON,PER,they,-1,0
88,2148,2148,PRON,PER,he,Sir Walter,0
7,2154,2155,PROP,FAC,Tattersall 's,Tattersall 's,0
2199,2160,2166,NOM,FAC,the lobby of the House of Commons,-1,0
2200,2163,2166,NOM,FAC,the House of Commons,-1,0
88,2169,2169,PRON,PER,His,Sir Walter,0
89,2180,2181,PROP,PER,Mr Elliot,Mr Elliot,0
89,2189,2189,PRON,PER,himself,Mr Elliot,0
313,2197,2198,NOM,PER,the family,-1,0
88,2201,2202,PROP,PER,Sir Walter,Sir Walter,0
89,2204,2204,PRON,PER,him,Mr Elliot,0
313,2212,2212,PRON,PER,them,-1,0
89,2221,2222,PROP,PER,Mr Elliot,Mr Elliot,0
90,2237,2237,PROP,PER,Elizabeth,Elizabeth,0
314,2242,2243,NOM,PER,the man,-1,0
89,2245,2245,PRON,PER,himself,Mr Elliot,0
90,2252,2252,PRON,PER,her,Elizabeth,0
275,2252,2253,NOM,PER,her father,-1,0
316,2252,2276,NOM,PER,"her father 's heir , and whose strong family pride could see only in him a proper match for Sir Walter Elliot 's eldest daughter",-1,0
89,2266,2266,PRON,PER,him,Mr Elliot,0
88,2271,2273,PROP,PER,Sir Walter Elliot,Sir Walter,0
317,2271,2276,NOM,PER,Sir Walter Elliot 's eldest daughter,-1,0
318,2281,2297,NOM,PER,a baronet from A to Z whom her feelings could have so willingly acknowledged as an equal,-1,0
90,2288,2288,PRON,PER,her,Elizabeth,0
89,2303,2303,PRON,PER,he,Mr Elliot,0
89,2305,2305,PRON,PER,himself,Mr Elliot,0
90,2309,2309,PRON,PER,she,Elizabeth,0
89,2325,2325,PRON,PER,his,Mr Elliot,0
223,2325,2326,NOM,PER,his wife,-1,0
90,2328,2328,PRON,PER,she,Elizabeth,0
89,2332,2332,PRON,PER,him,Mr Elliot,0
89,2343,2343,PRON,PER,his,Mr Elliot,0
320,2360,2360,NOM,PER,offspring,-1,0
89,2368,2368,PRON,PER,he,Mr Elliot,0
89,2374,2374,PRON,PER,he,Mr Elliot,0
321,2383,2384,NOM,PER,kind friends,-1,0
321,2386,2386,PRON,PER,they,-1,0
321,2395,2395,PRON,PER,them,-1,0
89,2406,2406,PRON,PER,he,Mr Elliot,0
89,2418,2418,PRON,PER,his,Mr Elliot,0
90,2429,2430,PROP,PER,Elizabeth Elliot,Elizabeth,0
90,2459,2459,PRON,PER,her,Elizabeth,0
322,2477,2479,NOM,FAC,one country circle,-1,0
286,2499,2499,NOM,FAC,home,-1,0
90,2521,2521,PRON,PER,Her,Elizabeth,0
275,2521,2522,NOM,PER,Her father,-1,0
90,2529,2529,PRON,PER,She,Elizabeth,0
275,2534,2534,PRON,PER,he,-1,0
325,2538,2539,NOM,FAC,the Baronetage,-1,0
275,2549,2549,PRON,PER,his,-1,0
326,2549,2550,NOM,PER,his tradespeople,-1,0
101,2557,2558,PROP,PER,Mr Shepherd,Mr Shepherd,0
275,2560,2560,PRON,PER,his,-1,0
327,2560,2561,NOM,PER,his agent,-1,0
275,2564,2564,PRON,PER,his,-1,0
88,2577,2578,PROP,PER,Sir Walter,Sir Walter,0
328,2582,2583,NOM,GPE,the state,-1,0
329,2586,2587,NOM,PER,its possessor,-1,0
99,2590,2591,PROP,PER,Lady Elliot,Lady Elliot,0
89,2608,2608,PRON,PER,him,Mr Elliot,0
89,2610,2610,PRON,PER,his,Mr Elliot,0
90,2615,2615,PRON,PER,her,Elizabeth,0
89,2628,2628,PRON,PER,he,Mr Elliot,0
89,2641,2641,PRON,PER,him,Mr Elliot,0
89,2646,2646,PRON,PER,he,Mr Elliot,0
88,2652,2654,PROP,PER,Sir Walter Elliot,Sir Walter,0
89,2665,2665,PRON,PER,he,Mr Elliot,0
89,2668,2668,PRON,PER,he,Mr Elliot,0
89,2699,2699,PRON,PER,his,Mr Elliot,0
330,2699,2700,NOM,PER,his daughter,-1,0
89,2702,2702,PRON,PER,He,Mr Elliot,0
90,2705,2705,PRON,PER,her,Elizabeth,0
307,2714,2714,NOM,GPE,town,-1,0
89,2716,2716,PRON,PER,he,Mr Elliot,0
333,2728,2728,PRON,PER,we,-1,0
90,2735,2735,PRON,PER,you,Elizabeth,0
333,2744,2744,PRON,PER,we,-1,0
90,2750,2750,PROP,PER,Elizabeth,Elizabeth,0
90,2754,2754,PRON,PER,her,Elizabeth,0
332,2799,2802,NOM,FAC,the drawing - room,-1,0
90,2807,2807,PRON,PER,she,Elizabeth,0
333,2814,2814,PRON,PER,their,-1,0
92,2820,2820,PROP,PER,Anne,Anne,0
88,2853,2854,PROP,PER,Sir Walter,Sir Walter,0
88,2856,2856,PRON,PER,himself,Sir Walter,0
90,2861,2861,PRON,PER,her,Elizabeth,0
90,2865,2865,PROP,PER,Elizabeth,Elizabeth,0
90,2874,2874,PRON,PER,She,Elizabeth,0
90,2876,2876,PRON,PER,herself,Elizabeth,0
90,2885,2885,PRON,PER,her,Elizabeth,0
275,2885,2886,NOM,PER,her father,-1,0
333,2889,2889,PRON,PER,they,-1,0
333,2893,2893,PRON,PER,them,-1,0
333,2901,2901,PRON,PER,their,-1,0
333,2905,2905,PRON,PER,their,-1,0
333,2910,2910,PRON,PER,their,-1,0
88,2927,2927,PRON,PER,his,Sir Walter,0
335,2927,2928,NOM,FAC,his estate,-1,0
88,2930,2931,PROP,PER,Sir Walter,Sir Walter,0
336,2938,2939,NOM,FAC,every acre,-1,0
88,2950,2950,PRON,PER,He,Sir Walter,0
88,2958,2958,PRON,PER,he,Sir Walter,0
88,2964,2964,PRON,PER,he,Sir Walter,0
88,2973,2973,PRON,PER,he,Sir Walter,0
88,2977,2977,PRON,PER,his,Sir Walter,0
337,2982,2984,NOM,FAC,The Kellynch estate,-1,0
88,2993,2993,PRON,PER,he,Sir Walter,0
337,2996,2996,PRON,FAC,it,-1,0
333,2998,2998,PRON,PER,Their,-1,0
338,2998,3001,NOM,PER,Their two confidential friends,-1,0
101,3003,3004,PROP,PER,Mr Shepherd,Mr Shepherd,0
339,3009,3012,NOM,GPE,the neighbouring market town,-1,0
100,3015,3016,PROP,PER,Lady Russell,Lady Russell,0
333,3022,3022,PRON,PER,them,-1,0
268,3026,3026,NOM,PER,father,-1,0
341,3028,3028,NOM,PER,daughter,-1,0
333,3045,3045,PRON,PER,their,-1,0
333,3049,3049,PRON,PER,their,-1,0
101,3066,3067,PROP,PER,Mr Shepherd,Mr Shepherd,0
342,3069,3073,NOM,PER,"a civil , cautious lawyer",-1,0
101,3080,3080,PRON,PER,his,Mr Shepherd,0
101,3083,3083,PRON,PER,his,Mr Shepherd,0
88,3086,3087,PROP,PER,Sir Walter,Sir Walter,0
343,3096,3097,NOM,PER,anybody else,-1,0
101,3100,3100,PRON,PER,himself,Mr Shepherd,0
100,3121,3122,PROP,PER,Lady Russell,Lady Russell,0
101,3129,3129,PRON,PER,he,Mr Shepherd,0
101,3140,3140,PRON,PER,he,Mr Shepherd,0
100,3147,3148,PROP,PER,Lady Russell,Lady Russell,0
100,3164,3164,PRON,PER,She,Lady Russell,0
344,3166,3195,NOM,PER,"a woman rather of sound than of quick abilities , whose difficulties in coming to any decision in this instance were great , from the opposition of two leading principles",-1,0
100,3197,3197,PRON,PER,She,Lady Russell,0
100,3202,3202,PRON,PER,herself,Lady Russell,0
100,3212,3212,PRON,PER,she,Lady Russell,0
88,3218,3219,PROP,PER,Sir Walter,Sir Walter,0
313,3229,3230,NOM,PER,the family,-1,0
100,3235,3235,PRON,PER,her,Lady Russell,0
313,3242,3242,PRON,PER,them,-1,0
346,3245,3247,NOM,PER,anybody of sense,-1,0
100,3254,3254,PRON,PER,She,Lady Russell,0
347,3256,3262,NOM,PER,"a benevolent , charitable , good woman",-1,0
100,3273,3273,PRON,PER,her,Lady Russell,0
100,3278,3278,PRON,PER,her,Lady Russell,0
100,3296,3296,PRON,PER,She,Lady Russell,0
100,3313,3313,PRON,PER,she,Lady Russell,0
100,3322,3322,PRON,PER,she,Lady Russell,0
100,3333,3333,PRON,PER,her,Lady Russell,0
313,3343,3343,PRON,PER,them,-1,1
100,3345,3345,PRON,PER,Herself,Lady Russell,1
348,3346,3351,NOM,PER,the widow of only a knight,-1,1
349,3350,3351,NOM,PER,a knight,-1,1
100,3353,3353,PRON,PER,she,Lady Russell,1
350,3358,3359,NOM,PER,a baronet,-1,1
88,3365,3366,PROP,PER,Sir Walter,Sir Walter,1
88,3370,3370,PRON,PER,his,Sir Walter,1
351,3373,3375,NOM,PER,an old acquaintance,-1,1
352,3377,3379,NOM,PER,an attentive neighbour,-1,1
353,3381,3383,NOM,PER,an obliging landlord,-1,1
354,3385,3399,NOM,PER,"the husband of her very dear friend , the father of Anne and her sisters",-1,1
100,3388,3388,PRON,PER,her,Lady Russell,1
355,3388,3391,NOM,PER,her very dear friend,-1,1
356,3393,3396,NOM,PER,the father of Anne,-1,1
92,3396,3396,PROP,PER,Anne,Anne,1
92,3398,3398,PRON,PER,her,Anne,1
357,3398,3399,NOM,PER,her sisters,-1,1
88,3405,3406,PROP,PER,Sir Walter,Sir Walter,1
100,3409,3409,PRON,PER,her,Lady Russell,1
88,3422,3422,PRON,PER,his,Sir Walter,1
358,3426,3426,PRON,PER,They,-1,1
100,3439,3439,PRON,PER,she,Lady Russell,1
88,3453,3453,PRON,PER,him,Sir Walter,1
90,3455,3455,PROP,PER,Elizabeth,Elizabeth,1
100,3457,3457,PRON,PER,She,Lady Russell,1
100,3464,3464,PRON,PER,she,Lady Russell,1
100,3470,3470,PRON,PER,she,Lady Russell,1
359,3473,3474,NOM,PER,nobody else,-1,1
100,3479,3479,PRON,PER,she,Lady Russell,1
92,3481,3481,PROP,PER,Anne,Anne,1
360,3488,3489,NOM,PER,the others,-1,1
100,3498,3498,PRON,PER,She,Lady Russell,1
100,3508,3508,PRON,PER,her,Lady Russell,1
88,3522,3523,PROP,PER,Sir Walter,Sir Walter,1
92,3528,3528,PROP,PER,Anne,Anne,1
100,3540,3540,PRON,PER,She,Lady Russell,1
2201,3572,3572,PRON,PER,we,-1,1
2202,3575,3575,PRON,PER,your,-1,1
2203,3575,3576,NOM,PER,your father,-1,1
100,3583,3584,PROP,PER,Lady Russell,Lady Russell,1
100,3588,3588,PRON,PER,her,Lady Russell,1
2203,3598,3598,PRON,PER,he,-1,1
2203,3607,3607,PRON,PER,he,-1,1
100,3613,3613,PRON,PER,I,Lady Russell,1
2201,3615,3615,PRON,PER,we,-1,1
2203,3621,3621,PRON,PER,him,-1,1
90,3623,3623,PROP,PER,Elizabeth,Elizabeth,1
1,3626,3627,PROP,FAC,Kellynch Hall,Kellynch Hall,1
88,3648,3650,PROP,PER,Sir Walter Elliot,Sir Walter,1
2204,3661,3662,NOM,PER,sensible people,-1,1
2205,3667,3670,NOM,PER,a man of principle,-1,1
2203,3674,3674,PRON,PER,he,-1,1
2206,3683,3688,NOM,PER,very many of our first families,-1,1
2201,3686,3686,PRON,PER,our,-1,1
2207,3686,3688,NOM,PER,our first families,-1,1
2203,3703,3703,PRON,PER,his,-1,1
2201,3717,3717,PRON,PER,our,-1,1
2201,3725,3725,PRON,PER,our,-1,1
100,3728,3728,PRON,PER,I,Lady Russell,1
2201,3735,3735,PRON,PER,We,-1,1
2208,3746,3751,NOM,PER,the person who has contracted debts,-1,1
2209,3754,3754,PRON,PER,them,-1,1
2210,3767,3768,NOM,PER,the gentleman,-1,1
2211,3771,3779,NOM,PER,"the head of a house , like your father",-1,1
2212,3774,3775,NOM,FAC,a house,-1,1
92,3778,3778,PRON,PER,your,Anne,1
2203,3778,3779,NOM,PER,your father,-1,1
2214,3790,3792,NOM,PER,an honest man,-1,1
92,3801,3801,PROP,PER,Anne,Anne,1
92,3803,3803,PRON,PER,her,Anne,1
275,3803,3804,NOM,PER,her father,-1,1
275,3809,3809,PRON,PER,his,-1,1
362,3809,3810,NOM,PER,his friends,-1,1
275,3814,3814,PRON,PER,him,-1,1
92,3816,3816,PRON,PER,She,Anne,1
363,3831,3831,NOM,PER,creditors,-1,1
92,3854,3854,PRON,PER,She,Anne,1
92,3867,3867,PRON,PER,She,Anne,1
100,3869,3870,PROP,PER,Lady Russell,Lady Russell,1
92,3886,3886,PRON,PER,her,Anne,1
92,3891,3891,PRON,PER,she,Anne,1
364,3901,3901,PRON,PER,them,-1,1
92,3912,3912,PRON,PER,Her,Anne,1
92,3915,3915,PRON,PER,her,Anne,1
275,3915,3916,NOM,PER,her father,-1,1
