symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,curb-weight,engine-type,cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,count
192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,4,108.0,mpfi,3.50,2.80,8.8,101,5800,20-30,20-30,10-20k,1.0
188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,6,164.0,mpfi,3.31,3.19,9.0,121,4250,20-30,20-30,20-30k,1.0
188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,6,164.0,mpfi,3.31,3.19,9.0,121,4250,20-30,20-30,20-30k,1.0
?,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,6,164.0,mpfi,3.31,3.19,9.0,121,4250,10-20,20-30,20-30k,1.0
?,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,6,209.0,mpfi,3.62,3.39,8.0,182,5400,10-20,20-30,30-40k,1.0
?,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,6,209.0,mpfi,3.62,3.39,8.0,182,5400,10-20,20-30,40-50k,1.0
?,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,6,209.0,mpfi,3.62,3.39,8.0,182,5400,10-20,10-20,30-40k,1.0
121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,3,61.0,2bbl,2.91,3.03,9.5,48,5100,40-50,50-60,5-10k,1.0
98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,4,90.0,2bbl,3.03,3.11,9.6,70,5400,30-40,40-50,5-10k,1.0
81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,4,90.0,2bbl,3.03,3.11,9.6,70,5400,30-40,40-50,5-10k,1.0
118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,4,90.0,2bbl,2.97,3.23,9.41,68,5500,30-40,40-50,5-10k,1.0
118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,4,98.0,mpfi,3.03,3.39,7.6,102,5500,20-30,20-30,5-10k,1.0
148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
148,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,4,98.0,mpfi,3.03,3.39,7.6,102,5500,20-30,20-30,5-10k,1.0
110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,4,122.0,2bbl,3.34,3.46,8.5,88,5000,20-30,20-30,5-10k,1.0
145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,4,156.0,mfi,3.60,3.90,7.0,145,5000,10-20,20-30,10-20k,1.0
137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,4,92.0,1bbl,2.91,3.41,9.6,58,4800,40-50,50-60,5-10k,1.0
137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,4,92.0,1bbl,2.91,3.41,9.2,76,6000,30-40,30-40,5-10k,1.0
101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,4,79.0,1bbl,2.91,3.07,10.1,60,5500,30-40,40-50,5-10k,1.0
101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,4,92.0,1bbl,2.91,3.41,9.2,76,6000,20-30,30-40,5-10k,1.0
101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,4,92.0,1bbl,2.91,3.41,9.2,76,6000,20-30,30-40,5-10k,1.0
110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,4,92.0,1bbl,2.91,3.41,9.2,76,6000,20-30,30-40,5-10k,1.0
78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,4,92.0,1bbl,2.92,3.41,9.2,76,6000,20-30,30-40,5-10k,1.0
106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,4,110.0,1bbl,3.15,3.58,9.0,86,5800,20-30,30-40,5-10k,1.0
106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,4,110.0,1bbl,3.15,3.58,9.0,86,5800,20-30,30-40,5-10k,1.0
85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,4,110.0,1bbl,3.15,3.58,9.0,86,5800,20-30,30-40,5-10k,1.0
85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,4,110.0,1bbl,3.15,3.58,9.0,86,5800,20-30,30-40,10-20k,1.0
85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,4,110.0,mpfi,3.15,3.58,9.0,101,5800,20-30,20-30,10-20k,1.0
107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,4,110.0,2bbl,3.15,3.58,9.1,100,5500,20-30,30-40,10-20k,1.0
?,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,4,111.0,2bbl,3.31,3.23,8.5,78,4800,20-30,20-30,5-10k,1.0
?,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,4,119.0,spfi,3.43,3.23,9.2,90,5000,20-30,20-30,10-20k,1.0
145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,6,258.0,mpfi,3.63,4.17,8.1,176,4750,10-20,10-20,30-40k,1.0
?,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,6,258.0,mpfi,3.63,4.17,8.1,176,4750,10-20,10-20,30-40k,1.0
?,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,12,326.0,mpfi,3.54,2.76,11.5,262,5000,10-20,10-20,30-40k,1.0
104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,4,91.0,2bbl,3.03,3.15,9.0,68,5000,20-30,30-40,5-10k,1.0
104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,4,91.0,2bbl,3.03,3.15,9.0,68,5000,30-40,30-40,5-10k,1.0
104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,4,91.0,2bbl,3.03,3.15,9.0,68,5000,30-40,30-40,5-10k,1.0
113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,4,91.0,2bbl,3.03,3.15,9.0,68,5000,30-40,30-40,5-10k,1.0
113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,4,91.0,2bbl,3.08,3.15,9.0,68,5000,30-40,30-40,5-10k,1.0
150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,2,70.0,4bbl,?,?,9.4,101,6000,10-20,20-30,10-20k,1.0
150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,2,70.0,4bbl,?,?,9.4,101,6000,10-20,20-30,10-20k,1.0
150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,2,70.0,4bbl,?,?,9.4,101,6000,10-20,20-30,10-20k,1.0
150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,2,80.0,mpfi,?,?,9.4,135,6000,10-20,20-30,10-20k,1.0
129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,4,122.0,2bbl,3.39,3.39,8.6,84,4800,20-30,30-40,5-10k,1.0
115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,4,122.0,2bbl,3.39,3.39,8.6,84,4800,20-30,30-40,5-10k,1.0
129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,4,122.0,2bbl,3.39,3.39,8.6,84,4800,20-30,30-40,10-20k,1.0
115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,4,122.0,2bbl,3.39,3.39,8.6,84,4800,20-30,30-40,10-20k,1.0
?,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,4,122.0,idi,3.39,3.39,22.7,64,4650,30-40,40-50,10-20k,1.0
115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,4,122.0,2bbl,3.39,3.39,8.6,84,4800,20-30,30-40,10-20k,1.0
118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,4,140.0,mpfi,3.76,3.16,8.0,120,5000,10-20,20-30,10-20k,1.0
?,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,4,134.0,idi,3.43,3.64,22.0,72,4200,30-40,30-40,10-20k,1.0
93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,5,183.0,idi,3.58,3.64,21.5,123,4350,20-30,20-30,20-30k,1.0
93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,5,183.0,idi,3.58,3.64,21.5,123,4350,20-30,20-30,20-30k,1.0
93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,5,183.0,idi,3.58,3.64,21.5,123,4350,20-30,20-30,20-30k,1.0
93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,5,183.0,idi,3.58,3.64,21.5,123,4350,20-30,20-30,30-40k,1.0
?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,8,234.0,mpfi,3.46,3.10,8.3,155,4750,10-20,10-20,30-40k,1.0
142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,8,234.0,mpfi,3.46,3.10,8.3,155,4750,10-20,10-20,30-40k,1.0
?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,8,308.0,mpfi,3.80,3.35,8.0,184,4500,10-20,10-20,40-50k,1.0
?,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,8,304.0,mpfi,3.80,3.35,8.0,184,4500,10-20,10-20,40-50k,1.0
?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,4,140.0,mpfi,3.78,3.12,8.0,175,5000,10-20,20-30,10-20k,1.0
161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,4,92.0,2bbl,2.97,3.23,9.4,68,5500,30-40,40-50,5-10k,1.0
161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,4,92.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,4,92.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,4,98.0,spdi,3.03,3.39,7.6,102,5500,20-30,20-30,5-10k,1.0
153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,4,110.0,spdi,3.17,3.46,7.5,116,5500,20-30,20-30,5-10k,1.0
153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,4,122.0,2bbl,3.35,3.46,8.5,88,5000,20-30,30-40,5-10k,1.0
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,4,156.0,spdi,3.58,3.86,7.0,145,5000,10-20,20-30,10-20k,1.0
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,4,156.0,spdi,3.59,3.86,7.0,145,5000,10-20,20-30,10-20k,1.0
?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,4,156.0,spdi,3.59,3.86,7.0,145,5000,10-20,20-30,10-20k,1.0
125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,4,122.0,2bbl,3.35,3.46,8.5,88,5000,20-30,30-40,5-10k,1.0
125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,4,122.0,2bbl,3.35,3.46,8.5,88,5000,20-30,30-40,5-10k,1.0
125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,4,110.0,spdi,3.17,3.46,7.5,116,5500,20-30,20-30,5-10k,1.0
137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,4,110.0,spdi,3.17,3.46,7.5,116,5500,20-30,20-30,5-10k,1.0
128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,4,103.0,idi,2.99,3.47,21.9,55,4800,40-50,40-50,5-10k,1.0
128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,ohc,4,97.0,2bbl,3.15,3.29,9.4,69,5200,30-40,30-40,5-10k,1.0
106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,4,120.0,2bbl,3.33,3.47,8.5,97,5200,20-30,30-40,5-10k,1.0
106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,4,120.0,2bbl,3.33,3.47,8.5,97,5200,20-30,30-40,5-10k,1.0
128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,6,181.0,mpfi,3.43,3.27,9.0,152,5200,10-20,20-30,10-20k,1.0
108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,6,181.0,mpfi,3.43,3.27,9.0,152,5200,10-20,20-30,10-20k,1.0
108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,6,181.0,mpfi,3.43,3.27,9.0,152,5200,10-20,20-30,10-20k,1.0
194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071.0,ohcv,6,181.0,mpfi,3.43,3.27,9.0,160,5200,10-20,20-30,10-20k,1.0
194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,6,181.0,mpfi,3.43,3.27,7.8,200,5200,10-20,20-30,10-20k,1.0
231,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,6,181.0,mpfi,3.43,3.27,9.0,160,5200,10-20,20-30,10-20k,1.0
161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,4,120.0,mpfi,3.46,3.19,8.4,97,5000,10-20,20-30,10-20k,1.0
161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,4,152.0,idi,3.70,3.52,21.0,95,4150,20-30,30-40,10-20k,1.0
?,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,4,120.0,mpfi,3.46,3.19,8.4,97,5000,10-20,20-30,10-20k,1.0
?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,4,152.0,idi,3.70,3.52,21.0,95,4150,20-30,20-30,10-20k,1.0
161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,4,120.0,mpfi,3.46,2.19,8.4,95,5000,10-20,20-30,10-20k,1.0
161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,4,152.0,idi,3.70,3.52,21.0,95,4150,20-30,30-40,10-20k,1.0
?,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,4,120.0,mpfi,3.46,2.19,8.4,95,5000,10-20,20-30,10-20k,1.0
?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,4,152.0,idi,3.70,3.52,21.0,95,4150,20-30,20-30,10-20k,1.0
161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,4,120.0,mpfi,3.46,3.19,8.4,97,5000,10-20,20-30,10-20k,1.0
161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,4,152.0,idi,3.70,3.52,21.0,95,4150,20-30,30-40,10-20k,1.0
161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,4,134.0,mpfi,3.61,3.21,7.0,142,5600,10-20,20-30,10-20k,1.0
119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,40-50,5-10k,1.0
119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,4,98.0,spdi,3.03,3.39,7.6,102,5500,20-30,20-30,5-10k,1.0
154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,4,90.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,4,98.0,2bbl,2.97,3.23,9.4,68,5500,30-40,30-40,5-10k,1.0
74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,4,122.0,2bbl,3.35,3.46,8.5,88,5000,20-30,20-30,5-10k,1.0
?,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,4,156.0,spdi,3.59,3.86,7.0,145,5000,10-20,20-30,10-20k,1.0
186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,4,151.0,mpfi,3.94,3.11,9.5,143,5500,10-20,20-30,20-30k,1.0
?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,6,194.0,mpfi,3.74,2.90,9.5,207,5900,10-20,20-30,30-40k,1.0
?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,6,194.0,mpfi,3.74,2.90,9.5,207,5900,10-20,20-30,30-40k,1.0
?,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,6,194.0,mpfi,3.74,2.90,9.5,207,5900,10-20,20-30,30-40k,1.0
?,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579.0,ohc,4,132.0,mpfi,3.46,3.90,8.7,?,?,20-30,30-40,5-10k,1.0
?,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460.0,ohc,4,132.0,mpfi,3.46,3.90,8.7,?,?,20-30,30-40,5-10k,1.0
150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,4,121.0,mpfi,3.54,3.07,9.31,110,5250,20-30,20-30,10-20k,1.0
104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,4,121.0,mpfi,3.54,3.07,9.3,110,5250,20-30,20-30,10-20k,1.0
150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,4,121.0,mpfi,2.54,2.07,9.3,110,5250,20-30,20-30,10-20k,1.0
104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,4,121.0,mpfi,3.54,3.07,9.3,110,5250,20-30,20-30,10-20k,1.0
150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,4,121.0,mpfi,3.54,3.07,9.0,160,5500,10-20,20-30,10-20k,1.0
104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,4,121.0,mpfi,3.54,3.07,9.0,160,5500,10-20,20-30,10-20k,1.0
83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,4,97.0,2bbl,3.62,2.36,9.0,69,4900,30-40,30-40,5-10k,1.0
83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,4,108.0,2bbl,3.62,2.64,8.7,73,4400,20-30,30-40,5-10k,1.0
83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,4,108.0,2bbl,3.62,2.64,8.7,73,4400,20-30,30-40,5-10k,1.0
102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145.0,ohcf,4,108.0,2bbl,3.62,2.64,9.5,82,4800,30-40,30-40,5-10k,1.0
102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,4,108.0,2bbl,3.62,2.64,9.5,82,4400,20-30,30-40,5-10k,1.0
102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,4,108.0,mpfi,3.62,2.64,9.0,94,5200,20-30,30-40,5-10k,1.0
102,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,4,108.0,2bbl,3.62,2.64,9.0,82,4800,20-30,20-30,5-10k,1.0
102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,4,108.0,mpfi,3.62,2.64,7.7,111,4800,20-30,20-30,10-20k,1.0
89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,4,108.0,2bbl,3.62,2.64,9.0,82,4800,20-30,30-40,5-10k,1.0
89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,4,108.0,mpfi,3.62,2.64,9.0,94,5200,20-30,30-40,10-20k,1.0
85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,4,108.0,2bbl,3.62,2.64,9.0,82,4800,20-30,20-30,5-10k,1.0
85,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650.0,ohcf,4,108.0,mpfi,3.62,2.64,7.7,111,4800,20-30,20-30,10-20k,1.0
